상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800491975,커피랑,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51810,인제군,51810330,기린면,5181033021,기린면,5.18103302110856E+018,1,대지,856,3,강원특별자치도 인제군 기린면 현리 856-3,518103013018,강원특별자치도 인제군 기린면 내린천로,3893,,4281033021008560003002114,,강원특별자치도 인제군 기린면 내린천로 3893,252845,24662,,,,128.31492625781,37.945435019558
MA010120220800635377,알로하카페,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51150,강릉시,51150350,옥계면,5115035029,옥계면,5.11503502910347E+018,1,대지,347,30,강원특별자치도 강릉시 옥계면 금진리 347-30,511503220051,강원특별자치도 강릉시 옥계면 헌화로,221,4,4215035029003470030050781,,강원특별자치도 강릉시 옥계면 헌화로 221-4,210831,25633,,,,129.04465304117,37.635381418966
MA010120220800625377,정라진협동조합나리꽃담장,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51230,삼척시,51230540,정라동,5123012600,정하동,5.12301260010071E+018,1,대지,71,4,강원특별자치도 삼척시 정하동 71-4,512304472049,강원특별자치도 삼척시 나리골길,37,6,4223012600100710004000001,,강원특별자치도 삼척시 나리골길 37-6,245140,25925,,,,129.18720153218,37.44025699619
MA010120220800618225,컴포즈커피속초조양점,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51210,속초시,51210580,조양동,5121010800,조양동,5.121010800115E+018,1,대지,1500,4,강원특별자치도 속초시 조양동 1500-4,512102000023,강원특별자치도 속초시 동해대로,4137,,4221010800115000004011390,,강원특별자치도 속초시 동해대로 4137,217813,24874,,1,,128.58168432202,38.189271800501
MA010120220800611207,카페베네,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51150,강릉시,51150250,주문진읍,5115025021,주문진읍,5.11502502110675E+018,1,대지,675,,강원특별자치도 강릉시 주문진읍 주문리 675,511503220050,강원특별자치도 강릉시 주문진읍 해안로,1935,,4215025021106750000031048,,강원특별자치도 강릉시 주문진읍 해안로 1935,210806,25408,,,,128.82933257361,37.902379798559
MA010120220800607323,빠다,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51130,원주시,51130650,행구동,5113011400,행구동,5.11301140010197E+018,1,대지,197,6,강원특별자치도 원주시 행구동 197-6,511303219058,강원특별자치도 원주시 행구로,480,,4213011400101970012032566,,강원특별자치도 원주시 행구로 480,220160,26455,,1,,128.00901500959,37.344385211014
MA010120220800604073,문커피,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51150,강릉시,51150665,경포동,5115013800,안현동,5.11501380010769E+018,1,대지,769,2,강원특별자치도 강릉시 안현동 769-2,511503220021,강원특별자치도 강릉시 안현로,98,,4215013800107690002000001,,강원특별자치도 강릉시 안현로 98,210380,25462,,,,128.86955552083,37.80305065094
MA010120220800604580,에브리그릭,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51110,춘천시,51110660,퇴계동,5111012300,퇴계동,5.11101230011108E+018,1,대지,1108,,강원특별자치도 춘천시 퇴계동 1108,511104454118,강원특별자치도 춘천시 남춘로36번길,50,10,4211012300111080000000001,,강원특별자치도 춘천시 남춘로36번길 50-10,200966,24380,,1,,127.73506925243,37.860979047929
MA010120220800543548,한송정카페북부노인복지관점,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51150,강릉시,51150370,연곡면,5115037022,연곡면,5.1150370221036E+018,1,대지,360,15,강원특별자치도 강릉시 연곡면 영진리 360-15,511503220022,강원특별자치도 강릉시 연곡면 연주로,230,,4215037022103600015000001,,강원특별자치도 강릉시 연곡면 연주로 230,210861,25429,,2,,128.83145053684,37.874334576444
MA010120220800544317,메가마트강원대학교천지관카페,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51110,춘천시,51110630,효자2동,5111011200,효자동,5.11101120010192E+018,1,대지,192,1,강원특별자치도 춘천시 효자동 192-1,511103218003,강원특별자치도 춘천시 공지로,188,77,4211011200101920001025051,강원대학교,강원특별자치도 춘천시 공지로 188-77,200701,24345,,2,,127.74836495685,37.868027238406
MA010120220800525697,차호,,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,51,강원특별자치도,51190,태백시,51190605,구문소동,5119010200,장성동,5.11901020010058E+018,1,대지,58,16,강원특별자치도 태백시 장성동 58-16,511903222014,강원특별자치도 태백시 장성로,208,,4219010200100580016000001,,강원특별자치도 태백시 장성로 208,235290,26047,,,,129.02274422008,37.102535966929
MA010120220800525848,봉황다방,,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,51,강원특별자치도,51230,삼척시,51230510,남양동,5123012000,남양동,5.12301200010327E+018,1,대지,327,23,강원특별자치도 삼척시 남양동 327-23,512304472318,강원특별자치도 삼척시 중앙시장길,68,45,4223012000103270023000001,봉황모텔,강원특별자치도 삼척시 중앙시장길 68-45,245938,25920,,,,129.16665946141,37.442570008488
MA010120220800521435,본머스카페,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51150,강릉시,51150250,주문진읍,5115025021,주문진읍,5.11502502110791E+018,1,대지,791,18,강원특별자치도 강릉시 주문진읍 주문리 791-18,511503220050,강원특별자치도 강릉시 주문진읍 해안로,1961,,4215025021107910018037445,,강원특별자치도 강릉시 주문진읍 해안로 1961,210806,25407,,2,,128.82897186208,37.904688908012
MA010120220800470763,신우웰한국광물자원공사점,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51130,원주시,51130675,반곡관설동,5113011700,반곡동,5.11301170011914E+018,1,대지,1914,8,강원특별자치도 원주시 반곡동 1914-8,511303219082,강원특별자치도 원주시 혁신로,199,,4213011700119140008000001,,강원특별자치도 원주시 혁신로 199,220170,26464,,1,,127.99155670845,37.325606033862
MA010120220800656324,명동공방카페,,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,51,강원특별자치도,51110,춘천시,51110630,효자2동,5111011200,효자동,5.1110112001071E+018,1,대지,710,1,강원특별자치도 춘천시 효자동 710-1,511104454051,강원특별자치도 춘천시 공지로297번길,9,,4211011200107100001027436,,강원특별자치도 춘천시 공지로297번길 9,200953,24372,,1,,127.73206005112,37.866567637917
MA010120220800661567,옛살비카페,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51770,정선군,51770320,남면,5177032022,남면,5.17703202210484E+018,1,대지,484,20,강원특별자치도 정선군 남면 무릉리 484-20,517703229008,강원특별자치도 정선군 남면 무릉1로,99,,4277032022104840018000324,,강원특별자치도 정선군 남면 무릉1로 99,233837,26146,,,,128.77620358951,37.245403774161
MA010120220800653157,마녀의지팡이,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51750,영월군,51750250,영월읍,5175025021,영월읍,5.17502502110959E+018,1,대지,959,29,강원특별자치도 영월군 영월읍 영흥리 959-29,517504481043,강원특별자치도 영월군 영월읍 단종로15번길,4,,4275025021109590029017889,,강원특별자치도 영월군 영월읍 단종로15번길 4,230805,26233,,1,,128.46801315163,37.185097592666
MA010120220800658270,커피러버스,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51150,강릉시,51150520,중앙동,5115010600,금학동,5.11501060010004E+018,1,대지,4,4,강원특별자치도 강릉시 금학동 4-4,511503220007,강원특별자치도 강릉시 금성로,13,,4215010600100040004027387,,강원특별자치도 강릉시 금성로 13,210060,25543,,,,128.89891175402,37.754445644369
MA010120220800777295,배쓰하우스,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51720,홍천군,51720250,홍천읍,5172025022,홍천읍,5.17202502210007E+018,1,대지,7,12,강원특별자치도 홍천군 홍천읍 신장대리 7-12,517203225007,강원특별자치도 홍천군 홍천읍 꽃뫼로,124,,4272025022100070012028947,,강원특별자치도 홍천군 홍천읍 꽃뫼로 124,250805,25138,,1,,127.88741181596,37.691538292216
MA010120220800758659,시크릿,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51230,삼척시,51230510,남양동,5123012000,남양동,5.12301200010352E+018,1,대지,352,2,강원특별자치도 삼척시 남양동 352-2,512303224018,강원특별자치도 삼척시 사직로,14,,4223012000103520002000001,,강원특별자치도 삼척시 사직로 14,245938,25930,,,,129.16668487628,37.433288951711
MA010120220800751056,꽃피는항골,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51770,정선군,51770340,북평면,5177034022,북평면,5.17703402210388E+018,1,대지,388,2,강원특별자치도 정선군 북평면 북평리 388-2,517704487350,강원특별자치도 정선군 북평면 탑골길,154,9,4277034022103880002017215,,강원특별자치도 정선군 북평면 탑골길 154-9,233851,26101,,1,,128.66538010297,37.467792673687
MA010120220800755159,쌀라네집,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51810,인제군,51810250,인제읍,5181025031,인제읍,5.18102503110462E+018,1,대지,462,,강원특별자치도 인제군 인제읍 고사리 462,518104499008,강원특별자치도 인제군 인제읍 고사리길,39,4,4281025031104620000000001,,강원특별자치도 인제군 인제읍 고사리길 39-4,252803,24640,,,,128.20289456953,38.046991202075
MA010120220800679392,커피베이원주,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51130,원주시,51130660,무실동,5113011500,무실동,5.11301150011663E+018,1,대지,1663,3,강원특별자치도 원주시 무실동 1663-3,511303219019,강원특별자치도 원주시 만대로,170,,4213011500116630003023951,,강원특별자치도 원주시 만대로 170,220150,26385,,,,127.92264964546,37.333519875612
MA010120220800679937,더홈카페테리어,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51230,삼척시,51230570,성내동,5123011800,원당동,5.1230118001017E+018,1,대지,170,,강원특별자치도 삼척시 원당동 170,512304472248,강원특별자치도 삼척시 원당로2길,20,,4223011800101700000000001,주공아파트,강원특별자치도 삼척시 원당로2길 20,245727,25918,,,,129.15237013538,37.438547348226
MA010120220800651509,햇골길34,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51110,춘천시,51110400,남산면,5111040028,남산면,5.11104002810452E+018,1,대지,452,,강원특별자치도 춘천시 남산면 서천리 452,511104454759,강원특별자치도 춘천시 남산면 햇골길,34,,4211040028104520000000001,,강원특별자치도 춘천시 남산면 햇골길 34,200914,24464,,1,,127.5348673302,37.835381945957
MA010120220800651837,"카페,인",,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51750,영월군,51750250,영월읍,5175025022,영월읍,5.17502502210543E+018,1,대지,543,,강원특별자치도 영월군 영월읍 하송리 543,517503227027,강원특별자치도 영월군 영월읍 하송로,146,25,4275025022200430000000001,극동스타클래스,강원특별자치도 영월군 영월읍 하송로 146-25,230808,26239,,,,128.45611595469,37.176988760594
MA010120220800645087,카페RR,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51210,속초시,51210600,대포동,5121011200,설악동,5.12101120010246E+018,1,대지,246,36,강원특별자치도 속초시 설악동 246-36,512103223017,강원특별자치도 속초시 청봉로,183,,4221011200102460036017490,,강원특별자치도 속초시 청봉로 183,217100,24904,,1,,128.52705697585,38.166590876182
MA010120220800649321,앤틱카페로이,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51130,원주시,51130390,신림면,5113039025,신림면,5.11303902510405E+018,1,대지,405,,강원특별자치도 원주시 신림면 성남리 405,511303219078,강원특별자치도 원주시 신림면 성남로,194,,4213039025104050000000001,,강원특별자치도 원주시 신림면 성남로 194,220863,26506,,1,,128.08452082145,37.262245421808
MA010120220800641566,탐앤탐스,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51110,춘천시,51110520,교동,5111012200,교동,5.11101220010156E+018,1,대지,156,25,강원특별자치도 춘천시 교동 156-25,511103218020,강원특별자치도 춘천시 성심로,3,,4211012200101560025009143,,강원특별자치도 춘천시 성심로 3,200060,24258,,2,,127.7393776875,37.883244084193
MA010120220800645303,문팰리스,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51130,원주시,51130550,단구동,5113010700,단구동,5.11301070011588E+018,1,대지,1588,4,강원특별자치도 원주시 단구동 1588-4,511303219013,강원특별자치도 원주시 단구로,408,,4213010700115880004017581,구곡청솔2차아파트,강원특별자치도 원주시 단구로 408,220759,26488,,1,,127.95355477679,37.322443315027
MA010120220800649593,마노,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51150,강릉시,51150615,강남동,5115012100,노암동,5.11501210010692E+018,1,대지,692,1,강원특별자치도 강릉시 노암동 692-1,511503220034,강원특별자치도 강릉시 임영로,41,,4215012100106920001002525,,강원특별자치도 강릉시 임영로 41,210932,25586,,1,,128.89664397837,37.746137472118
MA010120220800645928,또바기카페,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51770,정선군,51770253,고한읍,5177025321,고한읍,5.17702532110062E+018,1,대지,62,14,강원특별자치도 정선군 고한읍 고한리 62-14,517704487023,강원특별자치도 정선군 고한읍 고한6길,9,7,4277025321100620014011130,,강원특별자치도 정선군 고한읍 고한6길 9-7,233811,26155,,,,128.8540398604,37.200993219811
MA010120220800809140,초이랑,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51110,춘천시,51110250,신북읍,5111025022,신북읍,5.11102502210115E+018,1,대지,115,1,강원특별자치도 춘천시 신북읍 천전리 115-1,511104013002,강원특별자치도 춘천시 신북읍 배후령길,9,,4211025022101150001000001,,강원특별자치도 춘천시 신북읍 배후령길 9,200824,24204,,1,,127.78149325343,37.930777733413
MA010120220800815366,핑거커피보물섬점,,I2,음식,I212,비알코올 ,I21201,카페,G47991,자동 판매기 운영업,51,강원특별자치도,51130,원주시,51130541,명륜1동,5113010600,명륜동,5.11301060010193E+018,1,대지,193,,강원특별자치도 원주시 명륜동 193,511302219001,강원특별자치도 원주시 서원대로,291,,4213010600101930000000003,,강원특별자치도 원주시 서원대로 291,220947,26447,,,,127.94193234784,37.337874279021
MA010120220800827757,카페메어블릭,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51150,강릉시,51150360,사천면,5115036027,사천면,5.11503602710112E+018,1,대지,112,,강원특별자치도 강릉시 사천면 방동리 112,511503220050,강원특별자치도 강릉시 사천면 해안로,904,10,4215036027101120000000001,,강원특별자치도 강릉시 사천면 해안로 904-10,210852,25440,,2,,128.87624268268,37.831761454924
MA010120220800810371,오롯이나,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51150,강릉시,51150560,교2동,5115011000,교동,5.11501100010156E+018,1,대지,156,67,강원특별자치도 강릉시 교동 156-67,511504460807,강원특별자치도 강릉시 율곡로2868번길,1,,4215011000101560067013247,,강원특별자치도 강릉시 율곡로2868번길 1,210920,25491,,,,128.89567260092,37.759687219214
MA010120220800815259,꿈앤카페라온,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51130,원주시,51130660,무실동,5113011500,무실동,5.11301150010001E+018,1,대지,1,,강원특별자치도 원주시 무실동 1,511303219035,강원특별자치도 원주시 시청로,1,,4213011500100010000000001,원주시청,강원특별자치도 원주시 시청로 1,220703,26384,,2,,127.91931188124,37.341645690686
MA010120220800829378,인셀덤서울본부원주티엠비티,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51130,원주시,51130675,반곡관설동,5113011700,반곡동,5.11301170011842E+018,1,대지,1842,7,강원특별자치도 원주시 반곡동 1842-7,511304517951,강원특별자치도 원주시 양지뜰3길,8,,4213011700118420007000001,,강원특별자치도 원주시 양지뜰3길 8,220170,26461,,1,,127.98155907285,37.326334801748
MA010120220800940515,은찻집,,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,51,강원특별자치도,51130,원주시,51130515,중앙동,5113010100,중앙동,5.11301010010057E+018,1,대지,57,,강원특별자치도 원주시 중앙동 57,511304457563,강원특별자치도 원주시 중앙시장길,11,,4213010100100590019012270,자유시장,강원특별자치도 원주시 중앙시장길 11,220903,26428,,지,,127.94861631693,37.35023162545
MA010120220800924129,이화1996,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51130,원주시,51130660,무실동,5113011000,단계동,5.11301100010916E+018,1,대지,916,7,강원특별자치도 원주시 단계동 916-7,511304457502,강원특별자치도 원주시 이화1길,41,12,4213011000109160007023844,,강원특별자치도 원주시 이화1길 41-12,220939,26474,,,,127.93360173696,37.339924435902
MA010120220800912820,커피블라우삼척점,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51230,삼척시,51230310,근덕면,5123031033,근덕면,5.12303103310006E+018,1,대지,6,,강원특별자치도 삼척시 근덕면 용화리 6,512303224019,강원특별자치도 삼척시 근덕면 삼척로,2154,31,4223031033100060000000001,,강원특별자치도 삼척시 근덕면 삼척로 2154-31,245836,25938,,3,,129.30848186474,37.289114336137
MA010120220800925831,만순이조쿠만,,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,51,강원특별자치도,51170,동해시,51170510,천곡동,5117010100,천곡동,5.11701010011101E+018,1,대지,1101,1,강원특별자치도 동해시 천곡동 1101-1,511704463211,강원특별자치도 동해시 평릉1길,35,,4217010200011010001001047,천곡6주공아파트상가,강원특별자치도 동해시 평릉1길 35,240810,25748,,1,,129.10065014011,37.528784653932
MA010120220800927033,앨리커피,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51780,철원군,51780256,갈말읍,5178025621,갈말읍,5.17802562110674E+018,1,대지,674,2,강원특별자치도 철원군 갈말읍 신철원리 674-2,517804490140,강원특별자치도 철원군 갈말읍 삼부연로17번길,3,5,4278025621106740002033160,세아떼,강원특별자치도 철원군 갈말읍 삼부연로17번길 3-5,269805,24042,,1,,127.30948622879,38.145570812498
MA010120220800923992,카페호뜨,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51110,춘천시,51110660,퇴계동,5111012300,퇴계동,5.11101230010897E+018,1,대지,897,,강원특별자치도 춘천시 퇴계동 897,511104454652,강원특별자치도 춘천시 춘주로187번길,20,6,4211012300108970000000599,,강원특별자치도 춘천시 춘주로187번길 20-6,200944,24443,,,,127.72618230763,37.86086861538
MA010120220800847982,그럼에도,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51780,철원군,51780256,갈말읍,5178025625,갈말읍,5.17802562510681E+018,1,대지,681,10,강원특별자치도 철원군 갈말읍 문혜리 681-10,517803000136,강원특별자치도 철원군 갈말읍 호국로,5177,,4278025625106810010030631,카페그럼에도,강원특별자치도 철원군 갈말읍 호국로 5177,269804,24033,,1,,127.32798392181,38.178689707406
MA010120220800850984,장애인카페,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51210,속초시,51210540,금호동,5121010300,중앙동,5.12101030010469E+018,1,대지,469,6,강원특별자치도 속초시 중앙동 469-6,512103223025,강원특별자치도 속초시 중앙로,183,,4221010200104650004001269,속초시청,강원특별자치도 속초시 중앙로 183,217701,24826,,5,,128.59191324615,38.207672542924
MA010120220800843391,온이,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51110,춘천시,51110675,강남동,5111012100,온의동,5.11101210010152E+018,1,대지,152,23,강원특별자치도 춘천시 온의동 152-23,511103013022,강원특별자치도 춘천시 영서로,2297,,4211012100101520026019207,,강원특별자치도 춘천시 영서로 2297,200937,24435,,1,,127.71927754749,37.865519693877
MA010120220800843976,메가엠지씨커피속초,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,51,강원특별자치도,51210,속초시,51210590,청호동,5121010800,조양동,5.12101080011464E+018,1,대지,1464,4,강원특별자치도 속초시 조양동 1464-4,512103223022,강원특별자치도 속초시 해오름로,167,,4221010800114640004000001,,강원특별자치도 속초시 해오름로 167,217812,24887,,,,128.60321118346,38.188910915947
